year,state,domestic_tourists,foreign_tourists
2016,Meghalaya,830887,8476
2017,Meghalaya,990856,12051
2018,Meghalaya,1198340,18114
2019,Meghalaya,1245633,25813
2020,Meghalaya,24734,2311
2021,Meghalaya,154409,411
2022,Meghalaya,937000,8000
2023,Meghalaya,1372000,20000
2016,Mizoram,67238,942
2017,Mizoram,67772,1155
2018,Mizoram,76551,967
2019,Mizoram,163762,2249
2020,Mizoram,30890,265
2021,Mizoram,87232,234
2022,Mizoram,218000,3000
2023,Mizoram,209000,4000
2016,Nagaland,58178,3260
2017,Nagaland,63362,4166
2018,Nagaland,101588,5010
2019,Nagaland,125949,5577
2020,Nagaland,10979,518
2021,Nagaland,23968,325
2022,Nagaland,97000,3000
2023,Nagaland,100000,5000
2016,Odisha,12842766,76361
2017,Odisha,14011229,100014
2018,Odisha,15208540,110818
2019,Odisha,15307637,115128
2020,Odisha,4622273,10206
2021,Odisha,3742221,2269
2022,Odisha,7868000,22000
2023,Odisha,9725000,45000
2016,Puducherry,1398289,117437
2017,Puducherry,1531972,131407
2018,Puducherry,1616660,141133
2019,Puducherry,1713248,149919
2020,Puducherry,1114942,92080
2021,Puducherry,1253213,321
2022,Puducherry,1760000,1000
2023,Puducherry,2092000,31000
2016,Punjab,38703326,659736
2017,Punjab,40293352,1108635
2018,Punjab,44595061,1200969
2019,Punjab,47385387,1101343
2020,Punjab,16692197,359114
2021,Punjab,26640429,308135
2022,Punjab,26089000,329000
2023,Punjab,35708000,742000
2016,Rajasthan,41495115,1513729
2017,Rajasthan,45916573,1609963
2018,Rajasthan,50235643,1754348
2019,Rajasthan,52220431,1605560
2020,Rajasthan,15117239,446457
2021,Rajasthan,21988734,34806
2022,Rajasthan,108328000,397000
2023,Rajasthan,179052000,1700000
2016,Sikkim,747343,66012
2017,Sikkim,1375854,49111
2018,Sikkim,1426127,71172
2019,Sikkim,1421823,133388
2020,Sikkim,316408,19935
2021,Sikkim,511669,11508
2022,Sikkim,1626000,69000
2023,Sikkim,1321000,94000
2016,Tamil Nadu,343812413,4721978
2017,Tamil Nadu,345061140,4860455
2018,Tamil Nadu,385909376,6074345
2019,Tamil Nadu,494865257,6866327
2020,Tamil Nadu,140651241,1228323
2021,Tamil Nadu,115336719,57622
2022,Tamil Nadu,218585000,407000
2023,Tamil Nadu,286012000,1175000000
2016,Telangana,95160830,166570
2017,Telangana,85266596,251846
2018,Telangana,92878329,318154
2019,Telangana,83035894,323326
2020,Telangana,39997001,46694
2021,Telangana,32000620,5917
2022,Telangana,60748000,68000
2023,Telangana,58448000,161000
2016,Tripura,370618,36780
2017,Tripura,398669,69899
2018,Tripura,414388,102861
2019,Tripura,437201,154405
2020,Tripura,127815,31877
2021,Tripura,177816,5
2022,Tripura,236000,8000
2023,Tripura,366000,67000
2016,Uttar Pradesh,211707090,3156812
2017,Uttar Pradesh,233977619,3556204
2018,Uttar Pradesh,285079848,3780752
2019,Uttar Pradesh,535855162,4745181
2020,Uttar Pradesh,86122293,890932
2021,Uttar Pradesh,109708435,44737
2022,Uttar Pradesh,317914000,649000
2023,Uttar Pradesh,478526000,1602000
2016,Uttarakhand,30505363,117106
2017,Uttarakhand,34359989,133725
2018,Uttarakhand,35609650,151320
2019,Uttarakhand,37585920,152273
2020,Uttarakhand,7005264,41339
2021,Uttarakhand,19434475,8532
2022,Uttarakhand,54643000,62000
2023,Uttarakhand,58141000,143000
2016,West Bengal,74460250,1528700
2017,West Bengal,79630345,1574915
2018,West Bengal,1617105,1617105
2019,West Bengal,92366025,1656145
2020,West Bengal,28841732,463285
2021,West Bengal,24325984,34828
2022,West Bengal,84542000,1037000
2023,West Bengal,145669000,2707000
