year,state,domestic_tourists,foreign_tourists,domestic_recovery_index,foreign_recovery_index
2021,Puducherry,1253213,321,73.1,0.2
2022,Puducherry,1760000,1000,102.7,0.7
2023,Puducherry,2092000,31000,122.1,20.7
2019,Punjab,47385387,1101343,100.0,100.0
2020,Punjab,16692197,359114,35.2,32.6
2021,Punjab,26640429,308135,56.2,28.0
2022,Punjab,26089000,329000,55.1,29.9
2023,Punjab,35708000,742000,75.4,67.4
2019,Rajasthan,52220431,1605560,100.0,100.0
2020,Rajasthan,15117239,446457,28.9,27.8
2021,Rajasthan,21988734,34806,42.1,2.2
2022,Rajasthan,108328000,397000,207.4,24.7
2023,Rajasthan,179052000,1700000,342.9,105.9
2019,Sikkim,1421823,133388,100.0,100.0
2020,Sikkim,316408,19935,22.3,14.9
2021,Sikkim,511669,11508,36.0,8.6
2022,Sikkim,1626000,69000,114.4,51.7
2023,Sikkim,1321000,94000,92.9,70.5
2019,Tamil Nadu,494865257,6866327,100.0,100.0
2020,Tamil Nadu,140651241,1228323,28.4,17.9
2021,Tamil Nadu,115336719,57622,23.3,0.8
2022,Tamil Nadu,218585000,407000,44.2,5.9
2023,Tamil Nadu,286012000,1175000000,57.8,17112.5
2019,Telangana,83035894,323326,100.0,100.0
2020,Telangana,39997001,46694,48.2,14.4
2021,Telangana,32000620,5917,38.5,1.8
2022,Telangana,60748000,68000,73.2,21.0
2023,Telangana,58448000,161000,70.4,49.8
2019,Tripura,437201,154405,100.0,100.0
2020,Tripura,127815,31877,29.2,20.6
2021,Tripura,177816,5,40.7,0.0
2022,Tripura,236000,8000,54.0,5.2
2023,Tripura,366000,67000,83.7,43.4
2019,UT of Dadra & Nagar Haveli and Daman and Diu,1516134,7369,100.0,100.0
2020,UT of Dadra & Nagar Haveli and Daman and Diu,402395,1604,26.5,21.8
2021,UT of Dadra & Nagar Haveli and Daman and Diu,661222,185,43.6,2.5
2022,UT of Dadra & Nagar Haveli and Daman and Diu,800000,2000,52.8,27.1
2023,UT of Dadra & Nagar Haveli and Daman and Diu,1004000,4000,66.2,54.3
2019,Uttar Pradesh,535855162,4745181,100.0,100.0
2020,Uttar Pradesh,86122293,890932,16.1,18.8
2021,Uttar Pradesh,109708435,44737,20.5,0.9
2022,Uttar Pradesh,317914000,649000,59.3,13.7
2023,Uttar Pradesh,478526000,1602000,89.3,33.8
2019,Uttarakhand,37585920,152273,100.0,100.0
2020,Uttarakhand,7005264,41339,18.6,27.1
2021,Uttarakhand,19434475,8532,51.7,5.6
2022,Uttarakhand,54643000,62000,145.4,40.7
2023,Uttarakhand,58141000,143000,154.7,93.9
2019,West Bengal,92366025,1656145,100.0,100.0
2020,West Bengal,28841732,463285,31.2,28.0
2021,West Bengal,24325984,34828,26.3,2.1
2022,West Bengal,84542000,1037000,91.5,62.6
2023,West Bengal,145669000,2707000,157.7,163.5
