,,,,,,,,
year,state,domestic_tourists ,foreign_tourists ,,,,,
2020,Haryana," 21,14,731 "," 17,474 ",,,,,
2021,Haryana," 20,25,450 "," 4,578 ",,,,,
2022,Haryana," 21,08,000 "," 2,000 ",,,,,
2023,Haryana," 20,12,000 "," 1,000 ",,,,,
2016,Himachal Pradesh," 1,79,97,750 "," 45,27,710 ",,,,,
2017,Himachal Pradesh," 1,91,30,541 "," 4,70,992 ",,,,,
2018,Himachal Pradesh," 1,60,93,935 "," 3,56,568 ",,,,,
2019,Himachal Pradesh," 1,68,29,231 "," 3,82,876 ",,,,,
2020,Himachal Pradesh," 31,70,714 "," 42,665 ",,,,,
2021,Himachal Pradesh," 56,32,270 "," 4,932 ",,,,,
2022,Himachal Pradesh," 1,50,71,000 "," 29,000 ",,,,,
2023,Himachal Pradesh," 1,50,71,000 "," 1,000 ",,,,,
2016,Jammu & Kashmir," 94,14,579 "," 63,207 ",,,,,
2017,Jammu & Kashmir," 1,42,35,473 "," 79,765 ",,,,,
2018,Jammu & Kashmir," 1,70,76,315 "," 1,39,520 ",,,,,
2019,Jammu & Kashmir," 1,61,63,330 "," 57,920 ",,,,,
2020,Jammu & Kashmir," 25,19,524 "," 5,317 ",,,,,
2021,Jammu & Kashmir," 1,13,14,920 "," 1,650 ",,,,,
2022,Jammu & Kashmir," 1,84,99,000 "," 20,000 ",,,,,
2023,Jammu & Kashmir," 2,06,79,000 "," 55,000 ",,,,,
2016,Jharkhand," 3,33,89,286 "," 1,69,442 ",,,,,
2017,Jharkhand," 3,37,23,185 "," 1,70,987 ",,,,,
2018,Jharkhand," 3,54,08,822 "," 1,75,801 ",,,,,
2019,Jharkhand," 3,55,80,768 "," 1,76,043 ",,,,,
2020,Jharkhand," 25,74,704 ", 490 ,,,,,
2021,Jharkhand," 33,83,642 "," 1,637 ",,,,,
2022,Jharkhand," 3,82,84,000 "," 1,92,000 ",,,,,
2023,Jharkhand," 3,57,76,000 "," 1,89,000 ",,,,,
2016,Karnataka," 12,97,62,600 "," 4,61,752 ",,,,,
2017,Karnataka," 17,99,80,191 "," 4,98,148 ",,,,,
2018,Karnataka," 21,43,06,456 "," 5,43,716 ",,,,,
2019,Karnataka," 22,79,34,714 "," 6,08,754 ",,,,,
